test,dc_power
"(0.001, 0.002]",4.418178807874766
"(0.002, 0.003]",7.303528973311984
"(0.003, 0.004]",27.510441095226906
"(0.004, 0.005]",42.52246786043784
"(0.005, 0.006]",24.37076933805098
"(0.006, 0.007]",20.498504083879823
"(0.007, 0.008]",28.62523608480303
"(0.008, 0.009]",46.20207769727717
"(0.009, 0.01]",36.59436654797481
"(0.01, 0.011]",59.78963593428413
"(0.011, 0.021]",159.36250902401488
"(0.021, 0.031]",146.78788229978352
"(0.031, 0.041]",116.26483323222406
"(0.041, 0.051]",167.46812337476842
"(0.051, 0.061]",157.71246090074823
"(0.061, 0.071]",123.70346348918075
"(0.071, 0.081]",142.75344560897676
"(0.081, 0.091]",184.86314840770777
"(0.091, 0.101]",201.24025159803267
"(0.101, 0.111]",213.3009107328096
"(0.111, 0.211]",848.2292651524242
"(0.211, 0.311]",1025.3725815550138
"(0.311, 0.411]",1306.4912243515007
"(0.411, 0.511]",1599.3671581023027
"(0.511, 0.611]",1709.9665026685798
"(0.611, 0.711]",2191.1565199491515
"(0.711, 0.811]",2029.227023446886
"(0.811, 0.911]",2211.5907293766627
"(0.911, 1.011]",1330.010488596619
"(1.011, 1.111]",1538.2703238442584
"(1.111, 1.211]",1022.590788205912
